Day,Reported,Recovered,Death,Case,Date
0,4,0,0,4,1/25/2020
1,4,0,0,4,1/26/2020
2,4,0,0,4,1/27/2020
3,7,0,0,7,1/28/2020
4,8,0,0,8,1/29/2020
5,8,0,0,8,1/30/2020
6,8,0,0,8,1/31/2020
7,8,0,0,8,2/1/2020
8,8,0,0,8,2/2/2020
9,10,0,0,10,2/3/2020
10,12,1,0,11,2/4/2020
11,14,1,0,13,2/5/2020
12,15,1,0,14,2/6/2020
13,16,1,0,15,2/7/2020
14,18,2,0,16,2/8/2020
15,18,3,0,15,2/9/2020
16,18,3,0,15,2/10/2020
17,18,3,0,15,2/11/2020
18,19,3,0,16,2/12/2020
19,19,3,0,16,2/13/2020
20,21,7,0,14,2/14/2020
21,22,7,0,15,2/15/2020
22,22,8,0,14,2/16/2020
23,22,9,0,13,2/17/2020
24,22,11,0,11,2/18/2020
25,22,15,0,7,2/19/2020
26,22,17,0,5,2/20/2020
27,22,17,0,5,2/21/2020
28,22,17,0,5,2/22/2020
29,22,17,0,5,2/23/2020
30,22,18,0,4,2/24/2020
31,22,20,0,2,2/25/2020
32,22,20,0,2,2/26/2020
33,24,22,0,2,2/27/2020
34,25,22,0,3,2/28/2020
35,29,22,0,7,2/29/2020
36,29,22,0,7,3/1/2020
37,33,22,0,11,3/2/2020
38,36,22,0,14,3/3/2020
39,50,22,0,28,3/4/2020
40,55,22,0,33,3/5/2020
41,83,23,0,60,3/6/2020
42,93,23,0,70,3/7/2020
43,99,24,0,75,3/8/2020
44,118,24,0,94,3/9/2020
45,130,25,0,105,3/10/2020
46,149,26,0,123,3/11/2020
47,158,32,0,126,3/12/2020
48,197,33,0,164,3/13/2020
49,238,35,0,203,3/14/2020
50,428,42,0,386,3/15/2020
51,553,42,0,511,3/16/2020
52,673,49,2,622,3/17/2020
53,790,60,2,728,3/18/2020
54,900,75,2,823,3/19/2020
55,1030,87,3,940,3/20/2020
56,1183,114,8,1061,3/21/2020
57,1306,139,10,1157,3/22/2020
58,1518,159,14,1345,3/23/2020
59,1624,183,15,1426,3/24/2020
60,1796,199,20,1577,3/25/2020
61,2031,215,23,1793,3/26/2020
62,2161,259,26,1876,3/27/2020
63,2320,320,27,1973,3/28/2020
64,2470,388,34,2048,3/29/2020
65,2626,479,37,2110,3/30/2020
66,2766,537,43,2186,3/31/2020
67,2908,645,45,2218,4/1/2020
68,3116,767,50,2299,4/2/2020
69,3333,827,53,2453,4/3/2020
70,3483,915,57,2511,4/4/2020
71,3662,1005,61,2596,4/5/2020
72,3793,1241,62,2490,4/6/2020
73,3963,1321,63,2579,4/7/2020
74,4119,1487,64,2568,4/8/2020
75,4228,1608,67,2553,4/9/2020
76,4346,1830,70,2446,4/10/2020
77,4530,1995,73,2462,4/11/2020
78,4683,2108,76,2499,4/12/2020
79,4817,2276,77,2464,4/13/2020
80,4987,2478,82,2427,4/14/2020
81,5072,2647,83,2342,4/15/2020
82,5182,2766,84,2332,4/16/2020
83,5251,2967,86,2198,4/17/2020
84,5305,3102,88,2115,4/18/2020
85,5389,3197,89,2103,4/19/2020
86,5425,3295,89,2041,4/20/2020
87,5482,3349,92,2041,4/21/2020
88,5532,3452,93,1987,4/22/2020
89,5603,3542,95,1966,4/23/2020
90,5691,3663,96,1932,4/24/2020
91,5742,3762,98,1882,4/25/2020
92,5780,3862,98,1820,4/26/2020
93,5820,3957,99,1764,4/27/2020
94,5851,4032,100,1719,4/28/2020
95,5945,4087,100,1758,4/29/2020
96,6002,4171,102,1729,4/30/2020
97,6071,4210,103,1758,5/1/2020
98,6176,4326,103,1747,5/2/2020
99,6298,4413,105,1780,5/3/2020
100,6353,4484,105,1764,5/4/2020
101,6383,4567,106,1710,5/5/2020
102,6428,4702,107,1619,5/6/2020
